Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
Biochar,2524-7972,2524-7867,SOIL SCIENCE,12.7,Q1, 1/37 ,61.78%,SCIE
Journal of Consumer Culture,1469-5405,1741-2900,SOCIOLOGY,2.6,Q2, 49/149 ,17.47%,SSCI
Critical Sociology,0896-9205,1569-1632,SOCIOLOGY,1.9,Q3, 84/149 ,11.51%,SSCI
INTERNATIONAL SOCIOLOGY,0268-5809,1461-7242,SOCIOLOGY,2.1,Q2, 74/149 ,9.60%,SSCI
Qualitative Sociology,0162-0436,1573-7837,SOCIOLOGY,2.3,Q2, 66/149 ,15.48%,SSCI
Soil,2199-3971,2199-398X,SOIL SCIENCE,6.8,Q1, 3/37 ,99.26%,SCIE
Research in Social Stratification and Mobility,0276-5624,1878-5654,SOCIOLOGY,5.0,Q1, 9/149 ,24.05%,SSCI
Nations and Nationalism,1354-5078,1469-8129,HISTORY,2.2,Q1, 1/101 ,27.72%,SSCI
Nations and Nationalism,1354-5078,1469-8129,SOCIOLOGY,2.2,Q2, 71/149 ,27.72%,SSCI
Heritage Science,2050-7445,2050-7445,SPECTROSCOPY,2.5,Q2, 16/41 ,99.79%,SCIE
SOCIOLOGICAL INQUIRY,0038-0245,1475-682X,SOCIOLOGY,1.9,Q3, 84/149 ,4.67%,SSCI
Rhizosphere,,2452-2198,SOIL SCIENCE,3.7,Q3, 19/37 ,3.78%,SCIE
Men and Masculinities,1097-184X,1552-6828,SOCIOLOGY,2.5,Q2, 51/149 ,13.97%,SSCI
European Journal of Social Theory,1368-4310,1461-7137,SOCIOLOGY,2.1,Q2, 74/149 ,22.73%,SSCI
HIGH ALTITUDE MEDICINE & BIOLOGY,1527-0297,1557-8682,SPORT SCIENCES,2.1,Q3, 54/87 ,5.96%,SCIE
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,1187-7863,1573-322X,HISTORY & PHILOSOPHY OF SCIENCE,1.8,Q1, 9/62 ,49.40%,SCIE
SYMBOLIC INTERACTION,0195-6086,1533-8665,SOCIOLOGY,1.6,Q3, 95/149 ,11.63%,SSCI
SOCIOLOGICAL RESEARCH ONLINE,1360-7804,1360-7804,SOCIOLOGY,1.6,Q3, 95/149 ,32.71%,SSCI
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,0039-3681,1879-2510,HISTORY & PHILOSOPHY OF SCIENCE,1.0,Q2, 19/62 ,18.88%,SCIE
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,0039-3681,1879-2510,HISTORY & PHILOSOPHY OF SCIENCE,1.0,Q2, 22/48 ,18.88%,SSCI
WORK AND OCCUPATIONS,0730-8884,1552-8464,SOCIOLOGY,2.9,Q2, 39/149 ,19.30%,SSCI
Journal of Applied Spectroscopy,0021-9037,1573-8647,SPECTROSCOPY,0.7,Q4, 37/41 ,0%,SCIE
BIOLOGY & PHILOSOPHY,0169-3867,1572-8404,HISTORY & PHILOSOPHY OF SCIENCE,2.5,Q1, 6/62 ,39.76%,SCIE
BIOLOGY & PHILOSOPHY,0169-3867,1572-8404,HISTORY & PHILOSOPHY OF SCIENCE,2.5,Q1, 7/48 ,39.76%,SSCI
WILDERNESS & ENVIRONMENTAL MEDICINE,1080-6032,1545-1534,SPORT SCIENCES,1.4,Q4, 75/87 ,9.52%,SCIE
Social Movement Studies,1474-2837,1474-2829,SOCIOLOGY,3.1,Q1, 32/149 ,21.57%,SSCI
SOCIOLOGY OF SPORT JOURNAL,0741-1235,1543-2785,SOCIOLOGY,1.7,Q3, 93/149 ,1.53%,SSCI
SOCIOLOGY OF SPORT JOURNAL,0741-1235,1543-2785,SPORT SCIENCES,1.7,Q4, 68/87 ,1.53%,SCIE
Journal of Cultural Economy,1753-0350,1753-0369,SOCIOLOGY,1.9,Q3, 84/149 ,33.33%,SSCI
JOURNAL OF SOCIOLOGY,1440-7833,1741-2978,SOCIOLOGY,2.4,Q2, 59/149 ,12.08%,SSCI
APPLIED MAGNETIC RESONANCE,0937-9347,1613-7507,SPECTROSCOPY,1.0,Q4, 32/41 ,18.77%,SCIE
Social Justice Research,0885-7466,1573-6725,SOCIOLOGY,2.3,Q2, 66/149 ,40.98%,SSCI
Geoderma Regional,2352-0094,2352-0094,SOIL SCIENCE,4.1,Q2, 15/37 ,8.36%,SCIE
JOURNAL OF CONTEMPORARY ETHNOGRAPHY,0891-2416,1552-5414,SOCIOLOGY,1.6,Q3, 95/149 ,21.19%,SSCI
X-RAY SPECTROMETRY,0049-8246,1097-4539,SPECTROSCOPY,1.2,Q4, 31/41 ,11.70%,SCIE
Medicine Health Care and Philosophy,1386-7423,1572-8633,HISTORY & PHILOSOPHY OF SCIENCE,2.1,Q1, 9/48 ,53.66%,SSCI
ISIS,0021-1753,1545-6994,HISTORY & PHILOSOPHY OF SCIENCE,0.6,Q2, 31/62 ,2.88%,SCIE
ISIS,0021-1753,1545-6994,HISTORY & PHILOSOPHY OF SCIENCE,0.6,Q3, 31/48 ,2.88%,SSCI
Research in Sports Medicine,1543-8627,1543-8635,SPORT SCIENCES,2.4,Q3, 45/87 ,8.58%,SCIE
JOURNAL OF NEAR INFRARED SPECTROSCOPY,0967-0335,1751-6552,SPECTROSCOPY,1.8,Q3, 26/41 ,1.83%,SCIE
Ethnography,1466-1381,1741-2714,SOCIOLOGY,1.2,Q4, 112/149 ,15.47%,SSCI
SPECTROSCOPY LETTERS,0038-7010,1532-2289,SPECTROSCOPY,1.7,Q3, 28/41 ,0%,SCIE
Scandinavian Journal of Hospitality and Tourism,1502-2250,1502-2269,SOCIOLOGY,3.6,Q1, 22/149 ,54.22%,SSCI
HISTORICAL JOURNAL,0018-246X,1469-5103,HISTORY,0.8,Q1, 24/101 ,46.60%,SSCI
MINERVA,0026-4695,1573-1871,HISTORY & PHILOSOPHY OF SCIENCE,2.3,Q1, 8/48 ,53.01%,SSCI
BMC Sports Science Medicine and Rehabilitation,2052-1847,2052-1847,SPORT SCIENCES,1.9,Q3, 61/87 ,99.55%,SCIE
JOURNAL OF SPORT & SOCIAL ISSUES,0193-7235,1552-7638,SOCIOLOGY,2.3,Q2, 66/149 ,12.22%,SSCI
SOLID STATE NUCLEAR MAGNETIC RESONANCE,0926-2040,1527-3326,SPECTROSCOPY,3.2,Q1, 10/41 ,10%,SCIE
City & Community,1535-6841,1540-6040,SOCIOLOGY,2.5,Q2, 51/149 ,7.14%,SSCI
ACTA SOCIOLOGICA,0001-6993,1502-3869,SOCIOLOGY,1.7,Q3, 93/149 ,42.55%,SSCI
Annual Review of Law and Social Science,1550-3585,1550-3631,SOCIOLOGY,2.4,Q2, 59/149 ,8.57%,SSCI
HISTORY AND THEORY,0018-2656,1468-2303,HISTORY,1.1,Q1, 13/101 ,19.49%,SSCI
Journal of Spectroscopy,2314-4920,2314-4939,SPECTROSCOPY,2.0,Q3, 22/41 ,98.33%,SCIE
Du Bois Review-Social Science Research on Race,1742-058X,1742-0598,SOCIOLOGY,1.3,Q3, 108/149 ,20.90%,SSCI
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1543-2777,SPORT SCIENCES,1.9,Q3, 61/87 ,0%,SCIE
JOURNAL OF AMERICAN HISTORY,0021-8723,1945-2314,HISTORY,1.2,Q1, 10/101 ,0%,SSCI
JOURNAL OF MATHEMATICAL SOCIOLOGY,0022-250X,1545-5874,SOCIOLOGY,1.0,Q4, 117/149 ,16.07%,SSCI
SPORTS MEDICINE AND ARTHROSCOPY REVIEW,1062-8592,1538-1951,SPORT SCIENCES,1.9,Q3, 61/87 ,0%,SCIE
ARMED FORCES & SOCIETY,0095-327X,1556-0848,SOCIOLOGY,1.4,Q3, 105/149 ,6.42%,SSCI
EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,1090-2457,HISTORY OF SOCIAL SCIENCES,2.3,Q1, 1/34 ,21.74%,SSCI
Sociology of Race and Ethnicity,2332-6492,2332-6505,SOCIOLOGY,3.0,Q1, 37/149 ,3.23%,SSCI
SOCIOLOGY OF RELIGION,1069-4404,1759-8818,SOCIOLOGY,3.1,Q1, 32/149 ,9.68%,SSCI
Body & Society,1357-034X,1460-3632,SOCIOLOGY,1.8,Q3, 89/149 ,26.92%,SSCI
BUSINESS HISTORY,0007-6791,1743-7938,HISTORY OF SOCIAL SCIENCES,1.1,Q1, 7/34 ,21.10%,SSCI
International Journal of the History of Sport,0952-3367,1743-9035,HISTORY,0.6,Q2, 44/101 ,8.18%,SSCI
Social Epistemology,0269-1728,1464-5297,HISTORY & PHILOSOPHY OF SCIENCE,1.7,Q2, 13/48 ,17.89%,SSCI
PERSPECTIVES IN BIOLOGY AND MEDICINE,0031-5982,1529-8795,HISTORY & PHILOSOPHY OF SCIENCE,1.0,Q2, 19/62 ,0%,SCIE
Sociological Science,,2330-6696,SOCIOLOGY,3.4,Q1, 26/149 ,75.36%,SSCI
International Political Sociology,1749-5679,1749-5687,SOCIOLOGY,2.4,Q2, 59/149 ,30.77%,SSCI
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0047-0767,,SPORT SCIENCES,0.8,Q4, 82/87 ,0%,SCIE
Historical Social Research-Historische Sozialforschung,0172-6404,,HISTORY,0.9,Q1, 21/101 ,0%,SSCI
Historical Social Research-Historische Sozialforschung,0172-6404,,HISTORY OF SOCIAL SCIENCES,0.9,Q2, 13/34 ,0%,SSCI
JOURNAL OF AFRICAN HISTORY,0021-8537,1469-5138,HISTORY,1.1,Q1, 13/101 ,38.89%,SSCI
SOTSIOLOGICHESKIE ISSLEDOVANIYA,0132-1625,0132-1625,SOCIOLOGY,0.6,Q4, 131/149 ,0.19%,SSCI
Nationalities Papers-The Journal of Nationalism and Ethnicity,0090-5992,1465-3923,HISTORY,1.2,Q1, 10/101 ,38.57%,SSCI
Innovation-The European Journal of Social Science Research,1351-1610,1469-8412,SOCIOLOGY,2.0,Q3, 79/149 ,27.75%,SSCI
Measurement in Physical Education and Exercise Science,1091-367X,1532-7841,SPORT SCIENCES,2.1,Q3, 54/87 ,13.01%,SCIE
ZEITSCHRIFT FUR SOZIOLOGIE,0340-1804,2366-0325,SOCIOLOGY,0.8,Q4, 125/149 ,41.18%,SSCI
Memory Studies,1750-6980,1750-6999,HISTORY,1.1,Q1, 13/101 ,19.25%,SSCI
JOURNAL OF CONTEMPORARY HISTORY,0022-0094,1461-7250,HISTORY,0.7,Q2, 33/101 ,16.55%,SSCI
SCIENCE AS CULTURE,0950-5431,1470-1189,HISTORY & PHILOSOPHY OF SCIENCE,2.6,Q1, 6/48 ,28.09%,SSCI
Science and Medicine in Football,2473-3938,2473-4446,SPORT SCIENCES,3.4,Q1, 20/87 ,16.95%,SCIE
SOCIETY,0147-2011,1936-4725,SOCIOLOGY,0.9,Q4, 121/149 ,15.06%,SSCI
Studies in History and Philosophy of Science Part C-Studies in History and Philosophy of Biological and Biomedical Sciences,1369-8486,1879-2499,HISTORY & PHILOSOPHY OF SCIENCE,0.9,Q2, 23/62 ,28.85%,SCIE
Studies in History and Philosophy of Science Part C-Studies in History and Philosophy of Biological and Biomedical Sciences,1369-8486,1879-2499,HISTORY & PHILOSOPHY OF SCIENCE,0.9,Q2, 24/48 ,28.85%,SSCI
TEACHING SOCIOLOGY,0092-055X,1939-862X,SOCIOLOGY,2.2,Q2, 71/149 ,7.69%,SSCI
BULLETIN OF THE HISTORY OF MEDICINE,0007-5140,1086-3176,HISTORY & PHILOSOPHY OF SCIENCE,1.0,Q2, 19/62 ,1.82%,SCIE
BULLETIN OF THE HISTORY OF MEDICINE,0007-5140,1086-3176,HISTORY & PHILOSOPHY OF SCIENCE,1.0,Q2, 22/48 ,1.82%,SSCI
HUMAN STUDIES,0163-8548,1572-851X,SOCIOLOGY,1.0,Q4, 117/149 ,41.23%,SSCI
Mobilization,1086-671X,,SOCIOLOGY,1.5,Q3, 100/149 ,0%,SSCI
Race and Social Problems,1867-1748,1867-1756,SOCIOLOGY,3.1,Q1, 32/149 ,8.65%,SSCI
JOURNAL OF LAW AND SOCIETY,0263-323X,1467-6478,SOCIOLOGY,1.3,Q3, 108/149 ,36.07%,SSCI
EXERCISE IMMUNOLOGY REVIEW,1077-5552,1077-5552,SPORT SCIENCES,7.3,Q1, 4/87 ,0%,SCIE
JOURNAL OF SOCIAL HISTORY,0022-4529,1527-1897,HISTORY,0.8,Q1, 24/101 ,10.08%,SSCI
RATIONALITY AND SOCIETY,1043-4631,1461-7358,SOCIOLOGY,1.0,Q4, 117/149 ,26.79%,SSCI
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,0002-9246,1536-7150,SOCIOLOGY,0.8,Q4, 125/149 ,4.90%,SSCI
REVIEW OF RELIGIOUS RESEARCH,0034-673X,2211-4866,SOCIOLOGY,1.5,Q3, 100/149 ,14.13%,SSCI
TECHNOLOGY AND CULTURE,0040-165X,1097-3729,HISTORY & PHILOSOPHY OF SCIENCE,0.7,Q2, 28/62 ,2.31%,SCIE
TECHNOLOGY AND CULTURE,0040-165X,1097-3729,HISTORY & PHILOSOPHY OF SCIENCE,0.7,Q3, 29/48 ,2.31%,SSCI
Human Ecology Review,1074-4827,2204-0919,SOCIOLOGY,0.9,Q4, 121/149 ,30.77%,SSCI
RACE & CLASS,0306-3968,1741-3125,SOCIOLOGY,2.6,Q2, 49/149 ,18.46%,SSCI
INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,0020-7152,1745-2554,SOCIOLOGY,2.0,Q3, 79/149 ,26.32%,SSCI
JOURNAL OF PHILOSOPHY OF EDUCATION,0309-8249,1467-9752,HISTORY OF SOCIAL SCIENCES,1.0,Q1, 8/34 ,21.61%,SSCI
SCIENCE & SPORTS,0765-1597,0765-1597,SPORT SCIENCES,1.1,Q4, 80/87 ,4.01%,SCIE
HISTORY WORKSHOP JOURNAL,1363-3554,1477-4569,HISTORY,1.0,Q1, 18/101 ,26.25%,SSCI
JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,1074-1542,1572-8854,SPECTROSCOPY,0.8,Q4, 35/41 ,5.88%,SCIE
SOCIOLOGICAL SPECTRUM,0273-2173,1521-0707,SOCIOLOGY,1.8,Q3, 89/149 ,1.47%,SSCI
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,0023-2653,1861-891X,SOCIOLOGY,1.5,Q3, 100/149 ,87.16%,SSCI
INTELLIGENCE AND NATIONAL SECURITY,0268-4527,1743-9019,HISTORY,1.2,Q1, 10/101 ,20.19%,SSCI
MEDICAL HISTORY,0025-7273,2048-8343,HISTORY & PHILOSOPHY OF SCIENCE,1.4,Q1, 15/62 ,33.93%,SCIE
MEDICAL HISTORY,0025-7273,2048-8343,HISTORY & PHILOSOPHY OF SCIENCE,1.4,Q2, 18/48 ,33.93%,SSCI
Health Sociology Review,1446-1242,1839-3551,SOCIOLOGY,3.6,Q1, 22/149 ,12.50%,SSCI
HISTORY OF POLITICAL ECONOMY,0018-2702,1527-1919,HISTORY OF SOCIAL SCIENCES,0.7,Q3, 19/34 ,0%,SSCI
ARCHIVES EUROPEENNES DE SOCIOLOGIE,0003-9756,1474-0583,SOCIOLOGY,1.4,Q3, 105/149 ,33.33%,SSCI
ARID LAND RESEARCH AND MANAGEMENT,1532-4982,1532-4990,SOIL SCIENCE,1.4,Q4, 35/37 ,1.01%,SCIE
JOURNAL OF MODERN HISTORY,0022-2801,1537-5358,HISTORY,0.5,Q3, 53/101 ,0%,SSCI
MOTOR CONTROL,1087-1640,1543-2696,SPORT SCIENCES,1.1,Q4, 80/87 ,0%,SCIE
BUSINESS HISTORY REVIEW,0007-6805,2044-768X,HISTORY OF SOCIAL SCIENCES,1.2,Q1, 6/34 ,18.18%,SSCI
Journal of Immigrant & Refugee Studies,1556-2948,1556-2956,SOCIOLOGY,1.2,Q4, 112/149 ,16.83%,SSCI
SOCIETY & ANIMALS,1063-1119,1568-5306,SOCIOLOGY,0.8,Q4, 125/149 ,8.04%,SSCI
JOURNAL OF BRITISH STUDIES,0021-9371,1545-6986,HISTORY,1.0,Q1, 18/101 ,38.46%,SSCI
JOURNAL OF URBAN HISTORY,0096-1442,1552-6771,HISTORY OF SOCIAL SCIENCES,0.4,Q4, 31/34 ,8.95%,SSCI
ENGLISH HISTORICAL REVIEW,0013-8266,1477-4534,HISTORY,0.7,Q2, 33/101 ,36.89%,SSCI
Canadian Review of Sociology-Revue Canadienne de Sociologie,1755-6171,1755-618X,SOCIOLOGY,2.7,Q2, 47/149 ,6.54%,SSCI
JOURNAL OF THE HISTORY OF BIOLOGY,0022-5010,1573-0387,HISTORY & PHILOSOPHY OF SCIENCE,0.8,Q2, 27/62 ,27.03%,SCIE
JOURNAL OF THE HISTORY OF BIOLOGY,0022-5010,1573-0387,HISTORY & PHILOSOPHY OF SCIENCE,0.8,Q3, 26/48 ,27.03%,SSCI
ATOMIC SPECTROSCOPY,0195-5373,2708-521X,SPECTROSCOPY,3.4,Q1, 7/41 ,0%,SCIE
Cultural Sociology,1749-9755,1749-9763,SOCIOLOGY,1.9,Q3, 84/149 ,30.61%,SSCI
JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,1095-8614,HISTORY OF SOCIAL SCIENCES,1.0,Q1, 8/34 ,21.51%,SSCI
Journal of Responsible Innovation,2329-9460,2329-9037,HISTORY & PHILOSOPHY OF SCIENCE,3.9,Q1, 3/48 ,71.70%,SSCI
Society and Mental Health,2156-8693,2156-8731,SOCIOLOGY,5.1,Q1, 8/149 ,1.89%,SSCI
DIPLOMATIC HISTORY,0145-2096,1467-7709,HISTORY,0.4,Q3, 67/101 ,8.26%,SSCI
SOCIAL HISTORY OF MEDICINE,0951-631X,1477-4666,HISTORY & PHILOSOPHY OF SCIENCE,0.7,Q2, 28/62 ,31.32%,SCIE
SOCIAL HISTORY OF MEDICINE,0951-631X,1477-4666,HISTORY & PHILOSOPHY OF SCIENCE,0.7,Q3, 29/48 ,31.32%,SSCI
SOCIAL HISTORY OF MEDICINE,0951-631X,1477-4666,HISTORY,0.7,Q2, 33/101 ,31.32%,SSCI
Kinesiology,1331-1441,1848-638X,SPORT SCIENCES,1.2,Q4, 79/87 ,98.06%,SCIE
Chinese Sociological Review,2162-0555,2162-0563,SOCIOLOGY,4.0,Q1, 17/149 ,4%,SSCI
Young,1103-3088,1741-3222,SOCIOLOGY,2.1,Q2, 74/149 ,34%,SSCI
European Journal for Philosophy of Science,1879-4912,1879-4920,HISTORY & PHILOSOPHY OF SCIENCE,1.5,Q1, 13/62 ,54.75%,SCIE
ENVIRONMENTAL HISTORY,1084-5453,1930-8892,HISTORY,0.7,Q2, 33/101 ,6.67%,SSCI
SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES,0085-6401,1479-0270,HISTORY,0.9,Q1, 21/101 ,8.63%,SSCI
Journal of Exercise Science & Fitness,1728-869X,1728-869X,SPORT SCIENCES,2.8,Q2, 36/87 ,91.73%,SCIE
European Review of Economic History,1361-4916,1474-0044,HISTORY OF SOCIAL SCIENCES,1.4,Q1, 5/34 ,21.78%,SSCI
Gender and History,0953-5233,1468-0424,HISTORY,0.5,Q3, 53/101 ,24.08%,SSCI
Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,1577-0354,1577-0354,SPORT SCIENCES,1.3,Q4, 78/87 ,83.91%,SCIE
ISOKINETICS AND EXERCISE SCIENCE,0959-3020,1878-5913,SPORT SCIENCES,0.7,Q4, 84/87 ,4.48%,SCIE
JOURNAL OF INTERDISCIPLINARY HISTORY,0022-1953,1530-9169,HISTORY,0.5,Q3, 53/101 ,10.42%,SSCI
Postcolonial Studies,1368-8790,1466-1888,HISTORY,1.3,Q1, 9/101 ,14.29%,SSCI
Archives of Budo,1643-8698,1643-8698,SPORT SCIENCES,2.1,Q3, 54/87 ,0%,SCIE
Soil and Water Research,1801-5395,1805-9384,SOIL SCIENCE,2.3,Q3, 26/37 ,96.25%,SCIE
Planning Perspectives,0266-5433,1466-4518,HISTORY OF SOCIAL SCIENCES,0.8,Q2, 16/34 ,20.32%,SSCI
SOCIAL SCIENCE HISTORY,0145-5532,1527-8034,HISTORY,0.8,Q1, 24/101 ,27.88%,SSCI
SOCIAL SCIENCE HISTORY,0145-5532,1527-8034,HISTORY OF SOCIAL SCIENCES,0.8,Q2, 16/34 ,27.88%,SSCI
HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,0391-9714,1742-6316,HISTORY & PHILOSOPHY OF SCIENCE,2.0,Q1, 7/62 ,41.88%,SCIE
HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,0391-9714,1742-6316,HISTORY & PHILOSOPHY OF SCIENCE,2.0,Q1, 10/48 ,41.88%,SSCI
ENDEAVOUR,0160-9327,1873-1929,HISTORY & PHILOSOPHY OF SCIENCE,0.6,Q2, 31/62 ,16.67%,SCIE
EUROPEAN JOURNAL OF MASS SPECTROMETRY,1469-0667,1751-6838,SPECTROSCOPY,1.3,Q3, 30/41 ,7.06%,SCIE
Journal of Global History,1740-0228,1740-0236,HISTORY,1.9,Q1, 3/101 ,36.26%,SSCI
Crime Media Culture,1741-6590,1741-6604,SOCIOLOGY,1.8,Q3, 89/149 ,19.59%,SSCI
Food Culture & Society,1552-8014,1751-7443,SOCIOLOGY,1.0,Q4, 117/149 ,16.36%,SSCI
OSIRIS,0369-7827,1933-8287,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Q3, 37/62 ,0%,SCIE
OSIRIS,0369-7827,1933-8287,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Q3, 34/48 ,0%,SSCI
HISTORY OF THE HUMAN SCIENCES,0952-6951,1461-720X,HISTORY & PHILOSOPHY OF SCIENCE,0.9,Q2, 23/62 ,28.35%,SCIE
HISTORY OF THE HUMAN SCIENCES,0952-6951,1461-720X,HISTORY & PHILOSOPHY OF SCIENCE,0.9,Q2, 24/48 ,28.35%,SSCI
HISTORY OF THE HUMAN SCIENCES,0952-6951,1461-720X,HISTORY OF SOCIAL SCIENCES,0.9,Q2, 13/34 ,28.35%,SSCI
History of Education,0046-760X,1464-5130,HISTORY OF SOCIAL SCIENCES,0.5,Q4, 27/34 ,25.17%,SSCI
HAHR-Hispanic American Historical Review,0018-2168,1527-1900,HISTORY,0.5,Q3, 53/101 ,0%,SSCI
SOCIAL COMPASS,0037-7686,1461-7404,SOCIOLOGY,0.9,Q4, 121/149 ,14.68%,SSCI
INTERNATIONAL REVIEW OF SOCIAL HISTORY,0020-8590,1469-512X,HISTORY,0.8,Q1, 24/101 ,39.29%,SSCI
REVUE FRANCAISE DE SOCIOLOGIE,0035-2969,1958-5691,SOCIOLOGY,0.4,Q4, 140/149 ,0%,SSCI
Foundations of Science,1233-1821,1572-8471,HISTORY & PHILOSOPHY OF SCIENCE,0.9,Q2, 23/62 ,35.86%,SCIE
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X,SPORT SCIENCES,1.5,Q4, 72/87 ,0%,SCIE
JOURNAL OF HISTORICAL SOCIOLOGY,0952-1909,1467-6443,HISTORY,0.5,Q3, 53/101 ,15.97%,SSCI
JOURNAL OF HISTORICAL SOCIOLOGY,0952-1909,1467-6443,SOCIOLOGY,0.5,Q4, 138/149 ,15.97%,SSCI
SPECTROSCOPY,0887-6703,,SPECTROSCOPY,0.5,Q4, 41/41 ,0%,SCIE
Revista Espanola de Investigaciones Sociologicas,0210-5233,1988-5903,SOCIOLOGY,1.1,Q4, 115/149 ,98.97%,SSCI
PAEDAGOGICA HISTORICA,0030-9230,1477-674X,HISTORY OF SOCIAL SCIENCES,0.5,Q4, 27/34 ,11.97%,SSCI
JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,0022-5045,1468-4373,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Q3, 37/62 ,16.98%,SCIE
JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,0022-5045,1468-4373,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Q3, 34/48 ,16.98%,SSCI
History of the Family,1081-602X,1873-5398,HISTORY OF SOCIAL SCIENCES,1.0,Q1, 8/34 ,31.48%,SSCI
Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,1754-3371,1754-338X,SPORT SCIENCES,1.5,Q4, 72/87 ,7%,SCIE
Interventions-International Journal of Postcolonial Studies,1369-801X,1469-929X,HISTORY,0.7,Q2, 33/101 ,13.92%,SSCI
ARCHIVE FOR HISTORY OF EXACT SCIENCES,0003-9519,1432-0657,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Q3, 37/62 ,26.56%,SCIE
Contemporary European History,0960-7773,1469-2171,HISTORY,0.8,Q1, 24/101 ,45.40%,SSCI
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,0007-0874,1474-001X,HISTORY & PHILOSOPHY OF SCIENCE,0.8,Q3, 26/48 ,41.10%,SSCI
History and Anthropology,0275-7206,1477-2612,HISTORY,0.7,Q2, 33/101 ,27.39%,SSCI
Journal of the Economic and Social History of the Orient,0022-4995,1568-5209,HISTORY,0.7,Q2, 33/101 ,27.85%,SSCI
Estudios Atacamenos,0718-1043,0718-1043,HISTORY,0.5,Q3, 53/101 ,95.76%,SSCI
HISTORY OF SCIENCE,0073-2753,1753-8564,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Q3, 37/62 ,20.25%,SCIE
HISTORY OF SCIENCE,0073-2753,1753-8564,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Q3, 34/48 ,20.25%,SSCI
Ayer,1134-2277,2255-5838,HISTORY,0.2,Q4, 87/101 ,31.76%,SSCI
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,0019-4646,0973-0893,HISTORY,0.7,Q2, 33/101 ,11.54%,SSCI
AGRICULTURAL HISTORY,0002-1482,1533-8290,HISTORY & PHILOSOPHY OF SCIENCE,0.6,Q2, 31/62 ,0%,SCIE
AGRICULTURAL HISTORY,0002-1482,1533-8290,HISTORY & PHILOSOPHY OF SCIENCE,0.6,Q3, 31/48 ,0%,SSCI
AGRICULTURAL HISTORY,0002-1482,1533-8290,HISTORY,0.6,Q2, 44/101 ,0%,SSCI
Law and History Review,0738-2480,1939-9022,HISTORY,0.8,Q1, 24/101 ,25.27%,SSCI
Law and History Review,0738-2480,1939-9022,HISTORY OF SOCIAL SCIENCES,0.8,Q2, 16/34 ,25.27%,SSCI
CANADIAN JOURNAL OF SOCIOLOGY-CAHIERS CANADIENS DE SOCIOLOGIE,0318-6431,0318-6431,SOCIOLOGY,0.7,Q4, 128/149 ,3.85%,SSCI
JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES,0022-5061,1520-6696,HISTORY OF SOCIAL SCIENCES,0.6,Q3, 22/34 ,15.28%,SSCI
CONCEPTS IN MAGNETIC RESONANCE PART A,1546-6086,1552-5023,SPECTROSCOPY,0.6,Q4, 39/41 ,100%,SCIE
JOURNAL OF WOMENS HISTORY,1042-7961,1527-2036,HISTORY,0.3,Q4, 77/101 ,0%,SSCI
ETHNOHISTORY,0014-1801,1527-5477,HISTORY,0.4,Q3, 67/101 ,0%,SSCI
ENTERPRISE & SOCIETY,1467-2227,1467-2235,HISTORY OF SOCIAL SCIENCES,1.0,Q1, 8/34 ,30.50%,SSCI
JOURNAL OF THE HISTORY OF SEXUALITY,1043-4070,1535-3605,HISTORY,0.6,Q2, 44/101 ,0%,SSCI
JOURNAL OF THE HISTORY OF SEXUALITY,1043-4070,1535-3605,SOCIOLOGY,0.6,Q4, 131/149 ,0%,SSCI
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,1019-3316,1555-6492,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Q3, 37/62 ,22.33%,SCIE
